iso_code;continent;location;date;total_cases;new_cases;total_deaths;new_deaths;total_cases_per_million;new_cases_per_million;total_deaths_per_million;new_deaths_per_million;reproduction_rate;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;population;median_age;aged_65_older;aged_70_older;cardiovasc_death_rate;diabetes_prevalence;hospital_beds_per_thousand;life_expectancy;human_development_index
ALB;Europe;Albania;2021-02-18;96838;1112;1617;17;33707,005;387,061;562,839;5,917;1,01;3049;2438;611;1348;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-11;131803;50;2420;4;45877,49;17,404;842,344;1,392;0,63;622507;440921;181586;9548;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-12;131845;42;2423;3;45892,109;14,619;843,389;1,044;0,62;632676;444755;187921;10169;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-13;131890;45;2426;3;45907,772;15,663;844,433;1,044;0,61;638338;445402;192936;5662;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-14;131939;49;2427;1;45924,828;17,056;844,781;0,348;0,61;653330;448571;204759;14992;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-18;132071;39;2436;1;45970,774;13,575;847,914;0,348;0,59;688947;460191;228756;8864;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-19;132095;24;2438;2;45979,128;8,354;848,61;0,696;0,58;697811;463402;234409;8864;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-20;132118;23;2440;2;45987,134;8,006;849,306;0,696;0,58;703743;466083;237660;5932;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-21;132153;35;2441;1;45999,316;12,183;849,654;0,348;0,58;708846;469169;239677;5103;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-24;132215;6;2445;1;46020,897;2,088;851,046;0,348;0,58;725135;475237;249898;8519;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-27;132264;20;2447;0;46037,953;6,962;851,743;0;0,57;759043;481788;277255;10057;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-05-31;132315;6;2451;1;46055,705;2,088;853,135;0,348;0,6;776461;486128;290333;4257;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-06-01;132337;22;2451;0;46063,362;7,658;853,135;0;0,61;780342;487078;293264;3881;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-06-07;132384;5;2452;1;46079,722;1,74;853,483;0,348;0,66;803682;493346;310336;5058;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-06-08;132397;13;2452;0;46084,247;4,525;853,483;0;0,68;809992;494437;315555;6310;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-06-09;132415;18;2452;0;46090,512;6,265;853,483;0;0,7;816556;496024;320532;6564;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-06-10;132426;11;2452;0;46094,341;3,829;853,483;0;0,7;823053;498437;324616;6497;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-06-11;132437;11;2453;1;46098,17;3,829;853,831;0,348;0,69;830281;501735;328546;7228;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
ALB;Europe;Albania;2021-06-12;132449;12;2453;0;46102,347;4,177;853,831;0;0,69;834868;503721;331147;4587;2872934;38;13,188;8,643;304,195;10,08;2,89;78,57;0,795
